Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein Stimulus HMS LINCS ID,Protein Stimulus Name,Other Stimulus HMS LINCS ID,Other Stimulus Name,Stimulus Concentration,Stimulus Conc Unit,ExpPlate,Measured Protein,Measured Protein MFI (a.u.),Bead Count
,,,,,,,,,,,,0,MIP-1B,69.0,56
,,,,,,,,,,,,0,MIP-1B,69.0,34
,,,,,,,,,,,,0,MIP-1B,74.5,48
60004-1,RA1869,,,,,,,,,,,1,MIP-1B,70.5,66
60003-1,N2759,,,,,,,,,,,1,MIP-1B,63.0,69
60005-1,RA1931,,,,,,,,,,,1,MIP-1B,66.0,59
60001-1,N2586,,,,,,,,,,,1,MIP-1B,60.0,77
60004-1,RA1869,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,72.0,57
60004-1,RA1869,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,65.0,61
60003-1,N2759,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,63.5,54
60003-1,N2759,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,60.5,50
60005-1,RA1931,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,59.0,56
60005-1,RA1931,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,75.0,53
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,64.0,68
60001-1,N2586,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,66.0,54
60004-1,RA1869,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,111.5,72
60003-1,N2759,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,151.0,95
60005-1,RA1931,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,121.5,74
60001-1,N2586,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,166.0,74
