Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value,Biological Replicate
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,1044,18893,18740,1.0040,1
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,1044,19324,18740,1.0149,1
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,1044,18487,18740,0.9933,1
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,1044,17484,18740,0.9668,1
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,1044,16471,18740,0.9387,1
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,1044,15690,18740,0.9163,1
50583-4,MCF 10A,10233-101-4,Alpelisib,1,1044,15083,18740,0.8982,1
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,1044,13166,18740,0.8372,1
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,1044,12213,18740,0.8046,1
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,1044,9690,18740,0.7068,1
50583-4,MCF 10A,10233-101-4,Alpelisib,10,1044,7033,18740,0.5793,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,1044,17801,18740,0.9754,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,1044,16759,18740,0.9471,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,1044,16528,18740,0.9404,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,1044,14889,18740,0.8926,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,1044,14132,18740,0.8688,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,1044,12262,18740,0.8065,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,1044,9335,18740,0.6916,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,1044,5572,18740,0.4940,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,1044,4111,18740,0.3872,1
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,1044,2886,18740,0.2759,1
50583-4,MCF 10A,10020-101-5,Dasatinib,1,1044,2621,18740,0.2468,1
50583-4,MCF 10A,10020-101-5,Dasatinib,1.7783,1044,1647,18740,0.1156,1
50583-4,MCF 10A,10020-101-5,Dasatinib,3.1623,1044,1066,18740,0.0045,1
50583-4,MCF 10A,10020-101-5,Dasatinib,10,1044,535,18740,-0.1484,1
50583-4,MCF 10A,10250-101-3,Etoposide,0.0010833,1044,18618,18740,0.9968,1
50583-4,MCF 10A,10250-101-3,Etoposide,0.0033333,1044,18106,18740,0.9832,1
