Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value,Biological Replicate
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,636,10944,11073,0.9926,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,636,11516,11073,1.0181,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,636,11189,11073,1.0050,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,636,10498,11073,0.9742,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,636,9498,11073,0.9268,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,636,8966,11073,0.8996,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1,636,7833,11073,0.8389,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,636,7053,11073,0.7925,3
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,636,6210,11073,0.7362,3
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,636,4951,11073,0.6430,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3136,11073,0.4699,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,636,10190,11073,0.9597,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,636,10269,11073,0.9635,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,636,10319,11073,0.9661,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,636,9235,11073,0.9140,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,636,9090,11073,0.9058,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,636,7391,11073,0.8130,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,636,4824,11073,0.6310,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,636,2444,11073,0.3814,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1523,11073,0.2335,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,636,1098,11073,0.1343,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1,636,1274,11073,0.1803,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1.7783,636,718,11073,0.0266,3
50583-4,MCF 10A,10020-101-5,Dasatinib,3.1623,636,438,11073,-0.0868,3
50583-4,MCF 10A,10020-101-5,Dasatinib,10,636,274,11073,-0.1852,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.0010833,636,11165,11073,1.0039,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.0033333,636,11231,11073,1.0070,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.01,636,10722,11073,0.9845,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.018333,636,10688,11073,0.9823,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.031667,636,9773,11073,0.9400,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.056667,636,8330,11073,0.8667,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.1,636,7035,11073,0.7904,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.17783,636,5017,11073,0.6500,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.31623,636,3190,11073,0.4783,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.56234,636,1695,11073,0.2659,3
50583-4,MCF 10A,10250-101-3,Etoposide,1,636,877,11073,0.0811,3
50583-4,MCF 10A,10250-101-3,Etoposide,1.7783,636,745,11073,0.0387,3
50583-4,MCF 10A,10250-101-3,Etoposide,3.1623,636,709,11073,0.0261,3
50583-4,MCF 10A,10250-101-3,Etoposide,10,636,658,11073,0.0077,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.00043333,636,10906,11073,0.9928,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0013333,636,10897,11073,0.9924,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0033333,636,11350,11073,1.0119,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0053333,636,11060,11073,0.9994,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.01,636,10639,11073,0.9801,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.018,636,10415,11073,0.9705,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.031623,636,8791,11073,0.8910,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.056234,636,6005,11073,0.7242,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.1,636,3823,11073,0.5422,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.17783,636,2524,11073,0.3932,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.31623,636,1174,11073,0.1592,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.56234,636,791,11073,0.0539,3
50583-4,MCF 10A,10018-101-5,Neratinib,1,636,672,11073,0.0131,3
50583-4,MCF 10A,10018-101-5,Neratinib,3.1623,636,511,11073,-0.0528,3
50583-4,MCF 10A,10102-101-7,Taxol,4.3333e-05,636,10909,11073,0.9926,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00013333,636,11385,11073,1.0131,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0002,636,10966,11073,0.9954,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00033333,636,11018,11073,0.9974,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00053333,636,10128,11073,0.9520,3
50583-4,MCF 10A,10102-101-7,Taxol,0.001,636,7799,11073,0.8365,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0018,636,4630,11073,0.6173,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0031623,636,1720,11073,0.2730,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0056234,636,912,11073,0.0895,3
50583-4,MCF 10A,10102-101-7,Taxol,0.01,636,379,11073,-0.1185,3
50583-4,MCF 10A,10102-101-7,Taxol,0.017783,636,216,11073,-0.2310,3
50583-4,MCF 10A,10102-101-7,Taxol,0.031623,636,168,11073,-0.2760,3
50583-4,MCF 10A,10102-101-7,Taxol,0.1,636,133,11073,-0.3165,3
50583-4,MCF 10A,10102-101-7,Taxol,0.31623,636,138,11073,-0.3107,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0010833,636,10831,11073,0.9892,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0033333,636,10277,11073,0.9639,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.01,636,11088,11073,1.0002,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.031667,636,10709,11073,0.9833,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.056667,636,11075,11073,0.9996,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.1,636,10318,11073,0.9651,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.17783,636,10972,11073,0.9941,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.31623,636,6230,11073,0.7330,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.56234,636,5473,11073,0.6837,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1,636,4535,11073,0.6077,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1.7783,636,3946,11073,0.5538,3
50583-4,MCF 10A,10071-101-2,Palbociclib,3.1623,636,3347,11073,0.4940,3
50583-4,MCF 10A,10071-101-2,Palbociclib,5.6234,636,2544,11073,0.3991,3
50583-4,MCF 10A,10071-101-2,Palbociclib,10,636,2236,11073,0.3558,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00021667,636,10845,11073,0.9893,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00033333,636,10433,11073,0.9702,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00066667,636,8672,11073,0.8838,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.001,636,9057,11073,0.9039,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.0016667,636,7178,11073,0.7997,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.003,636,4942,11073,0.6441,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.0056667,636,2922,11073,0.4469,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.01,636,1877,11073,0.2992,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.017783,636,1314,11073,0.1914,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.031623,636,1001,11073,0.1144,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.1,636,950,11073,0.1012,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.31623,636,914,11073,0.0903,3
50583-4,MCF 10A,10142-101-4,Trametinib,1,636,948,11073,0.0999,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.0033333,636,11049,11073,0.9990,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.01,636,11492,11073,1.0180,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.031667,636,10637,11073,0.9802,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.1,636,9727,11073,0.9374,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.17783,636,8902,11073,0.8946,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.31623,636,7251,11073,0.8042,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.56234,636,5440,11073,0.6826,3
50583-4,MCF 10A,10282-101-4,Vorinostat,1,636,2985,11073,0.4544,3
50583-4,MCF 10A,10282-101-4,Vorinostat,1.7783,636,1641,11073,0.2576,3
50583-4,MCF 10A,10282-101-4,Vorinostat,3.1623,636,837,11073,0.0685,3
50583-4,MCF 10A,10282-101-4,Vorinostat,5.6234,636,742,11073,0.0381,3
50583-4,MCF 10A,10282-101-4,Vorinostat,10,636,655,11073,0.0055,3
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,782,13238,13357,0.9943,3
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,782,13591,13357,1.0082,3
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,782,13412,13357,1.0021,3
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,782,13113,13357,0.9912,3
