Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,12,Inf,Inf,0.5346,0.5346,0.0000,0.4462
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,24,Inf,Inf,0.6050,0.6050,0.0000,0.3309
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,36,Inf,Inf,0.7055,0.7055,0.0000,0.2829
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,48,Inf,Inf,0.7368,0.7368,0.0000,0.2612
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,72,Inf,Inf,0.8047,0.8047,0.0000,0.2441
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,84,Inf,Inf,0.7374,0.7374,0.0000,0.3018
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,12,Inf,Inf,0.4761,0.4761,0.0000,0.4903
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,24,Inf,Inf,0.3885,0.3885,0.0000,0.4429
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,36,Inf,Inf,0.3554,0.3554,0.0000,0.4191
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,48,Inf,Inf,0.3357,0.3357,0.0000,0.3927
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,72,Inf,Inf,0.2033,0.2033,0.0000,0.3884
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,84,Inf,Inf,0.1459,0.1459,0.0000,0.4301
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,12,Inf,Inf,0.3263,0.3263,0.0000,0.4338
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,24,Inf,Inf,0.2285,0.2285,0.0000,0.3229
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,36,1.7174,246.1221,0.1871,-1.0000,0.2213,0.3418
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,48,1.0407,79.7605,0.1715,-1.0000,0.2532,0.3575
