HMS LINCS Batch ID,HMS LINCS ID,Name,Alternative Names,LINCS ID,PubChem CID,ChEBI ID,ChEMBL ID,Molecular Mass,InChi,InChi Key,SMILES,Relevant Citations,Comments,Provider,Provider Batch ID,Molecular Weight,Purity,Purification Method,Chemical Synthesis Reference,Date Publicly Available,Most Recent Update
10068-101-1,10068,Vemurafenib,PLX4032; RG7204; R7204; RO5185426,LSM-1068,42611257,,,489.07,"InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)",GPXBXXGIAQBQNI-UHFFFAOYSA-N,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F,,,Haoyuan chemexpress,,489.920000,,,,,2016-04-04
10144-101-2,10144,Olaparib,AZD2281; KU-0059436,LSM-1145,23725625,,,434.18,"InChI=1S/C24H23FN4O3/c25-20-8-5-15(14-21-17-3-1-2-4-18(17)22(30)27-26-21)13-19(20)24(32)29-11-9-28(10-12-29)23(31)16-6-7-16/h1-5,8,13,16H,6-7,9-12,14H2,(H,27,30)",FDLYAMZZIXQODN-UHFFFAOYSA-N,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,,,Haoyuan chemexpress,HM-042_8-20110726,434.460000,,,,,2016-04-04
10145-102-1,10145,Veliparib,ABT-888,LSM-1146,11960529,,,244.13,"InChI=1S/C13H16N4O/c1-13(6-3-7-15-13)12-16-9-5-2-4-8(11(14)18)10(9)17-12/h2,4-5,15H,3,6-7H2,1H3,(H2,14,18)(H,16,17)/t13-/m1/s1",JNAHVYVRKWKWKQ-CYBMUJFWSA-N,C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,,,Haoyuan chemexpress,HM-069_9-20110119,317.210000,,,,,2016-04-04
10282-101-2,10282,Vorinostat,suberoylanilide hydroxamic acid (SAHA); Zolinza,LSM-3828,5311,,,264.15,"InChI=1S/C14H20N2O3/c17-13(15-12-8-4-3-5-9-12)10-6-1-2-7-11-14(18)16-19/h3-5,8-9,19H,1-2,6-7,10-11H2,(H,15,17)(H,16,18)",WAEXFXRVDQXREF-UHFFFAOYSA-N,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,,,Haoyuan chemexpress,HY-10221-20120320A,264.320000,,,,,2016-04-04
10300-101-1,10300,Azacitidine,5-azacytidine; Vidaza; AZA,LSM-5218,9444,,,244.08,"InChI=1S/C8H12N4O5/c9-7-10-2-12(8(16)11-7)6-5(15)4(14)3(1-13)17-6/h2-6,13-15H,1H2,(H2,9,11,16)/t3-,4-,5-,6-/m1/s1",NMUSYJAQQFHJEW-KVTDHHQDSA-N,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,,,Haoyuan chemexpress,HY-10586-20120401,244.200000,,,,,2016-04-04
10301-101-1,10301,Decitabine,5-aza-2'-deoxycytidine; Dacogen; DAC,LSM-5855,451668,,,228.09,"InChI=1S/C8H12N4O4/c9-7-10-3-12(8(15)11-7)6-1-4(14)5(2-13)16-6/h3-6,13-14H,1-2H2,(H2,9,11,15)/t4-,5+,6+/m0/s1",XAUDJQYHKZQPEU-KVQBGUIXSA-N,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,,,Haoyuan chemexpress,HYA0004-20110518,228.210000,,,,,2016-04-04
10302-101-1,10302,RG-108,,LSM-6283,702558,,,334.10,"InChI=1S/C19H14N2O4/c22-17-13-6-1-2-7-14(13)18(23)21(17)16(19(24)25)9-11-10-20-15-8-4-3-5-12(11)15/h1-8,10,16,20H,9H2,(H,24,25)/t16-/m0/s1",HPTXLHAHLXOAKV-INIZCTEOSA-N,C1=CC=C2C(=C1)C(=O)N(C2=O)[C@@H](CC3=CNC4=CC=CC=C43)C(=O)O,,,Haoyuan chemexpress,HY13642-20130408,334.330000,,,,,2016-04-04
10303-101-1,10303,Iniparib,BSI 201,LSM-6317,9796068,,,291.93,"InChI=1S/C7H5IN2O3/c8-5-2-1-4(7(9)11)3-6(5)10(12)13/h1-3H,(H2,9,11)",MDOJTZQKHMAPBK-UHFFFAOYSA-N,C1=CC(=C(C=C1C(=O)N)[N+](=O)[O-])I,,,Haoyuan chemexpress,HM-152_3-20111019,292.030000,,,,,2016-04-04
10304-105-1,10304,Rucaparib,AG014699; PF-01367338,LSM-4947,9931954,,,323.14,"InChI=1S/C19H18FN3O/c1-21-10-11-2-4-12(5-3-11)18-14-6-7-22-19(24)15-8-13(20)9-16(23-18)17(14)15/h2-5,8-9,21,23H,6-7,10H2,1H3,(H,22,24)",HMABYWSNWIZPAG-UHFFFAOYSA-N,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=CC(=CC(=C34)N2)F,,,Cayman Chemical,0444540-5,421.400000,,,,,2016-04-04
10305-101-1,10305,JW55,,LSM-6318,2946601,,,434.18,"InChI=1S/C25H26N2O5/c1-30-21-10-6-19(7-11-21)25(12-15-31-16-13-25)17-26-23(28)18-4-8-20(9-5-18)27-24(29)22-3-2-14-32-22/h2-11,14H,12-13,15-17H2,1H3,(H,26,28)(H,27,29)",ZJZWZIXSGNFWQQ-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2(CCOCC2)CNC(=O)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,,,Tocris,1A/136515,434.480000,,,,,2016-04-04
