Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Relative Growth Rate After Treatment
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,1,G24,72,hr,1334,2876,3970,0.7243,0.5847
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,2,G24,72,hr,1334,3293,3970,0.8293,0.7429
50105-3,BT-20,10133-101-1,Afatinib,0.04,uM,LJP6,3,G24,72,hr,1334,2983,3970,0.7512,0.6253
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,1,B24,72,hr,1334,3267,3970,0.8227,0.7330
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,2,B24,72,hr,1334,3559,3970,0.8963,0.8438
50105-3,BT-20,10035-101-1,Sigma A6730,0.04,uM,LJP5,3,B24,72,hr,1334,3708,3970,0.9338,0.9003
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,1,A18,72,hr,1334,2422,3970,0.6099,0.4125
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,2,A18,72,hr,1334,3088,3970,0.7777,0.6651
50105-3,BT-20,10011-101-1,Alvocidib,0.04,uM,LJP6,3,A18,72,hr,1334,3014,3970,0.7590,0.6370
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,1,K06,72,hr,1334,3808,3970,0.9590,0.9382
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,2,K06,72,hr,1334,3887,3970,0.9789,0.9682
50105-3,BT-20,10004-101-1,AT-7519,0.04,uM,LJP6,3,K06,72,hr,1334,3548,3970,0.8935,0.8396
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,1,J06,72,hr,1334,3995,3970,1.0061,1.0091
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,2,J06,72,hr,1334,3829,3970,0.9643,0.9462
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,3,J06,72,hr,1334,3422,3970,0.8618,0.7918
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,1,I06,72,hr,1334,4447,3970,1.1199,1.1806
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,2,I06,72,hr,1334,3923,3970,0.9879,0.9818
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,3,I06,72,hr,1334,4014,3970,1.0109,1.0163
