Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),Time Interval (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,14.50,11.8,Inf,Inf,0.5830,0.5830,0.0000,0.1656
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,16.47,11.8,Inf,Inf,0.5437,0.5437,0.0000,0.1861
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,18.43,11.8,Inf,Inf,0.5222,0.6101,2.4994,0.1797
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,20.40,11.8,Inf,Inf,0.5314,0.5864,2.4995,0.1792
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,22.37,11.8,Inf,Inf,0.5252,0.5693,2.5000,0.1619
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,24.34,11.8,Inf,Inf,0.5356,-0.1945,0.3087,0.1509
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,26.31,11.8,Inf,Inf,0.5498,-0.1965,0.2406,0.1366
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,28.28,11.8,Inf,Inf,0.5629,-0.2183,0.2154,0.1305
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,30.24,11.8,Inf,Inf,0.5895,-0.1967,0.3776,0.1021
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,32.22,11.8,Inf,Inf,0.6193,-0.1765,0.3252,0.0795
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,34.19,11.8,Inf,Inf,0.6682,-0.1536,0.3663,0.0626
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,36.16,11.8,Inf,Inf,0.7081,0.3588,0.1341,0.0812
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,38.13,11.8,Inf,Inf,0.7322,0.2688,0.1564,0.0791
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,40.10,11.8,Inf,Inf,0.7745,0.0032,0.1903,0.0455
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,42.07,11.8,Inf,Inf,0.7930,-0.0552,0.2023,0.0423
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,44.04,11.8,Inf,Inf,0.8807,0.2777,0.1810,0.0312
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,46.00,11.8,Inf,Inf,0.8766,0.0250,0.2295,0.0292
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,47.98,11.8,Inf,Inf,0.8928,0.8928,0.0000,0.0043
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,49.95,11.8,Inf,Inf,0.9252,0.9252,0.0000,-0.0030
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,51.92,11.8,Inf,Inf,0.9806,0.9806,0.0000,0.0026
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,53.89,11.8,Inf,Inf,0.9884,0.9884,0.0000,0.0083
