Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Normalized Growth Rate Inhibition Value,Assay Plate,Assay Well,Biological Replicate
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,491,7539,7713,0.9885,1,H18,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,491,7340,7713,0.9752,1,M07,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,491,7742,7713,1.0019,1,H19,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,491,7378,7713,0.9777,1,J03,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,491,8234,7713,1.0331,1,D11,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,491,7087,7713,0.9578,1,K22,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,491,6468,7713,0.9133,1,F06,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,491,7519,7713,0.9872,1,M16,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,491,6415,7713,0.9093,1,I07,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,491,6234,7713,0.8956,1,N11,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,491,4983,7713,0.7917,1,L14,2
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,491,5076,7713,0.8001,1,M04,2
50583-4,MCF 10A,10233-101-4,Alpelisib,1,491,5518,7713,0.8383,1,I03,2
50583-4,MCF 10A,10233-101-4,Alpelisib,1,491,5695,7713,0.8530,1,J17,2
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,491,4090,7713,0.7048,1,F10,2
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,491,3984,7713,0.6936,1,G17,2
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,491,3794,7713,0.6729,1,G10,2
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,491,3316,7713,0.6172,1,K12,2
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,491,1737,7713,0.3743,1,H16,2
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,491,2451,7713,0.4987,1,J14,2
50583-4,MCF 10A,10233-101-4,Alpelisib,10,491,1697,7713,0.3663,1,C05,2
50583-4,MCF 10A,10233-101-4,Alpelisib,10,491,1223,7713,0.2581,1,C20,2
50583-4,MCF 10A,10233-101-4,Alpelisib,10,491,1217,7713,0.2566,1,F22,2
50583-4,MCF 10A,10233-101-4,Alpelisib,10,491,1273,7713,0.2709,1,H04,2
50583-4,MCF 10A,10233-101-4,Alpelisib,10,491,1479,7713,0.3198,1,I04,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,491,7775,7713,1.0040,1,D09,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,491,6247,7713,0.8966,1,K18,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,491,6765,7713,0.9350,1,L18,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,491,6710,7713,0.9311,1,M15,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,491,6483,7713,0.9144,1,E09,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,491,6748,7713,0.9338,1,J07,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,491,5349,7713,0.8240,1,C22,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,491,5812,7713,0.8625,1,G16,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,491,6092,7713,0.8847,1,I15,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,491,5713,7713,0.8544,1,M03,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,491,4607,7713,0.7567,1,D14,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,491,4256,7713,0.7220,1,E11,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,491,2356,7713,0.4839,1,D10,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,491,2387,7713,0.4888,1,M06,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,491,731,7713,0.1053,1,E22,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,491,846,7713,0.1467,1,G15,2
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,491,637,7713,0.0677,1,G09,2
