HMS LINCS Batch ID,HMS LINCS ID,Name,Alternative Names,LINCS ID,PubChem CID,ChEBI ID,ChEMBL ID,Molecular Mass,InChi,InChi Key,SMILES,Relevant Citations,Comments,Provider,Provider Batch ID,Molecular Weight,Purity,Purification Method,Chemical Synthesis Reference,Date Publicly Available,Most Recent Update
10013-101-3,10013,GSK461364,GSK461364A,LSM-1013,15983966,,,543.19,"InChI=1S/C27H28F3N5O2S/c1-17(19-5-3-4-6-20(19)27(28,29)30)37-23-14-24(38-25(23)26(31)36)35-16-32-21-8-7-18(13-22(21)35)15-34-11-9-33(2)10-12-34/h3-8,13-14,16-17H,9-12,15H2,1-2H3,(H2,31,36)/t17-/m1/s1",ZHJGWYRLJUCMRT-QGZVFWFLSA-N,C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N,,,,,,,,,,2016-05-06
10021-101-5,10021,Tozasertib,VX680; MK-0457,LSM-1021,5494449,,572878,464.21,"InChI=1S/C23H28N8OS/c1-15-13-20(29-28-15)25-19-14-21(31-11-9-30(2)10-12-31)27-23(26-19)33-18-7-5-17(6-8-18)24-22(32)16-3-4-16/h5-8,13-14,16H,3-4,9-12H2,1-2H3,(H,24,32)(H2,25,26,27,28,29)",GCIKSSRWRFVXBI-UHFFFAOYSA-N,CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)SC4=CC=C(C=C4)NC(=O)C5CC5,,,Selleck Chemicals,,,,,,,2016-04-04
10023-103-3,10023,Imatinib,Gleevec; Glivec; CGP-57148B; STI-571,LSM-1023,5291,,941,493.26,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)",KTUFNOKKBVMGRW-UHFFFAOYSA-N,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,,,LC Laboratories,,589.710000,,,,,2016-04-04
10026-101-3,10026,PD173074,,LSM-1026,1401,,189584,523.33,"InChI=1S/C28H41N7O3/c1-8-35(9-2)13-11-10-12-29-26-30-18-20-16-23(19-14-21(37-6)17-22(15-19)38-7)25(31-24(20)32-26)33-27(36)34-28(3,4)5/h14-18H,8-13H2,1-7H3,(H3,29,30,31,32,33,34,36)",DXCUKNQANPLTEJ-UHFFFAOYSA-N,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,,,Sigma-Aldrich,,523.670000,,,,,2016-04-04
10035-109-2,10035,Sigma A6730,KIN001-102; AKT inhibitor VIII; Akt1/2 kinase inhibitor,LSM-1035,10196499,,258844,551.24,"InChI=1S/C34H29N7O/c42-34-39-26-8-4-5-9-31(26)41(34)25-14-16-40(17-15-25)20-22-10-12-24(13-11-22)33-32(23-6-2-1-3-7-23)37-29-18-27-28(36-21-35-27)19-30(29)38-33/h1-13,18-19,21,25H,14-17,20H2,(H,35,36)(H,39,42)",BIWGYFZAEWGBAL-UHFFFAOYSA-N,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=NC6=CC7=C(C=C6N=C5C8=CC=CC=C8)N=CN7,,,Sigma-Aldrich,,,,,,,2016-04-04
10062-101-3,10062,GSK1070916,KIN001-216,LSM-1062,46885626,,1090479,507.27,"InChI=1S/C30H33N7O/c1-6-37-19-26(28(34-37)21-10-12-23(13-11-21)32-30(38)36(4)5)24-14-15-31-29-25(24)17-27(33-29)22-9-7-8-20(16-22)18-35(2)3/h7-17,19H,6,18H2,1-5H3,(H,31,33)(H,32,38)",QTBWCSQGBMPECM-UHFFFAOYSA-N,CCN1C=C(C(=N1)C2=CC=C(C=C2)NC(=O)N(C)C)C3=C4C=C(NC4=NC=C3)C5=CC(=CC=C5)CN(C)C,,,,,,,,,,2016-04-04
10097-102-3,10097,Erlotinib,OSI-774,LSM-1097,176870,,553,393.17,"InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)",AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,,,LC Laboratories,,429.900000,,,,,2016-04-04
10098-101-2,10098,Gefitinib,ZD1839; Iressa,LSM-1098,123631,,,446.15,"InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)",XGALLCVXEZPNRQ-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,,,R. Neve (LBL),,,,,,,2016-04-04
10102-101-3,10102,Taxol,Paclitaxel,LSM-1102,441276,,428647,853.33,"InChI=1S/C47H51NO14/c1-25-31(60-43(56)36(52)35(28-16-10-7-11-17-28)48-41(54)29-18-12-8-13-19-29)23-47(57)40(61-42(55)30-20-14-9-15-21-30)38-45(6,32(51)22-33-46(38,24-58-33)62-27(3)50)39(53)37(59-26(2)49)34(25)44(47,4)5/h7-21,31-33,35-38,40,51-52,57H,22-24H2,1-6H3,(H,48,54)/t31-,32-,33+,35-,36+,37+,38?,40-,45+,46-,47+/m0/s1",RCINICONZNJXQF-VAZQATRQSA-N,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,,,LC Laboratories,,853.910000,,,,,2016-04-04
10107-101-2,10107,MG-132,,LSM-1107,462382,,64925,475.30,"InChI=1S/C26H41N3O5/c1-17(2)12-21(15-30)27-24(31)22(13-18(3)4)28-25(32)23(14-19(5)6)29-26(33)34-16-20-10-8-7-9-11-20/h7-11,15,17-19,21-23H,12-14,16H2,1-6H3,(H,27,31)(H,28,32)(H,29,33)/t21-,22-,23-/m0/s1",TZYWCYJVHRLUCT-VABKMULXSA-N,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,,,Enzo Life Sciences,,475.620000,,,,,2016-04-04
