HMS LINCS Batch ID,HMS LINCS ID,Name,Alternative Names,LINCS ID,PubChem CID,ChEBI ID,ChEMBL ID,Molecular Mass,InChi,InChi Key,SMILES,Relevant Citations,Comments,Provider,Provider Batch ID,Molecular Weight,Purity,Purification Method,Chemical Synthesis Reference,Date Publicly Available,Most Recent Update
10020-101-1,10020,Dasatinib,BMS-354825; Sprycel,LSM-1020,3062316,,1421,487.16,"InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)",ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,,,Haoyuan chemexpress,HY-999-20101220,488.010000,,,,,2016-04-04
10032-101-1,10032,Saracatinib,AZD0530,LSM-1032,10302451,,217092,541.21,"InChI=1S/C27H32ClN5O5/c1-32-6-8-33(9-7-32)10-13-35-19-14-21-24(23(15-19)38-18-4-11-34-12-5-18)27(30-16-29-21)31-25-20(28)2-3-22-26(25)37-17-36-22/h2-3,14-16,18H,4-13,17H2,1H3,(H,29,30,31)",OUKYUETWWIPKQR-UHFFFAOYSA-N,CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6,,,Haoyuan chemexpress,HY-999-20100409,542.030000,,,,,2016-04-04
10068-101-1,10068,Vemurafenib,PLX4032; RG7204; R7204; RO5185426,LSM-1068,42611257,,,489.07,"InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)",GPXBXXGIAQBQNI-UHFFFAOYSA-N,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F,,,Haoyuan chemexpress,,489.920000,,,,,2016-04-04
10072-101-2,10072,PF562271,KIN001-205,LSM-1072,11713159,,,507.13,"InChI=1S/C21H20F3N7O3S/c1-31(35(2,33)34)19-12(4-3-7-25-19)10-26-18-15(21(22,23)24)11-27-20(30-18)28-14-5-6-16-13(8-14)9-17(32)29-16/h3-8,11H,9-10H2,1-2H3,(H,29,32)(H2,26,27,28,30)",MZDKLVOWGIOKTN-UHFFFAOYSA-N,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,,,Selleck Chemicals,,507.490000,,,,,2016-04-04
10310-101-1,10310,Belinostat,PXD101,LSM-43181,53437714,,,318.07,"InChI=1S/C15H14N2O4S/c18-15(16-19)10-9-12-5-4-8-14(11-12)22(20,21)17-13-6-2-1-3-7-13/h1-11,17,19H,(H,16,18)",NCNRHFGMJRPRSK-UHFFFAOYSA-N,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,,,Haoyuan chemexpress,HY-10225-20111013,318.350000,,,,,2018-03-30
10328-101-1,10328,(+)-JQ1,(S)-JQ1,LSM-6332,46907787,,,456.14,"InChI=1S/C23H25ClN4O2S/c1-12-13(2)31-22-19(12)20(15-7-9-16(24)10-8-15)25-17(11-18(29)30-23(4,5)6)21-27-26-14(3)28(21)22/h7-10,17H,11H2,1-6H3/t17-/m0/s1",DNVXATUJJDPFDM-KRWDZBQOSA-N,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,,,Haoyuan chemexpress,HM-149_TM-20130205,456.990000,,,,,2016-04-04
10330-101-1,10330,I-BET,GSK 525762A,LSM-6334,46943432,,,423.15,"InChI=1S/C22H22ClN5O2/c1-4-24-20(29)12-18-22-27-26-13(2)28(22)19-10-9-16(30-3)11-17(19)21(25-18)14-5-7-15(23)8-6-14/h5-11,18H,4,12H2,1-3H3,(H,24,29)/t18-/m0/s1",AAAQFGUYHFJNHI-SFHVURJKSA-N,CCNC(=O)C[C@H]1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,,,Haoyuan chemexpress,HM-279_12A-20130322,423.900000,,,,,2016-04-04
10331-101-1,10331,I-BET151,GSK1210151A,LSM-6335,52912189,,,415.16,"InChI=1S/C23H21N5O3/c1-12-21(14(3)31-27-12)16-9-18-15(10-20(16)30-4)22-19(11-25-18)26-23(29)28(22)13(2)17-7-5-6-8-24-17/h5-11,13H,1-4H3,(H,26,29)/t13-/m1/s1",VUVUVNZRUGEAHB-CYBMUJFWSA-N,CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)N=CC4=C3N(C(=O)N4)[C@H](C)C5=CC=CC=N5)OC,,,Haoyuan chemexpress,HY-13235-20130409,415.440000,,,,,2016-04-04
10363-101-1,10363,JNK-IN-8,JNK Inhibitor XVI,LSM-44525,76516568,,,507.24,"InChI=1S/C29H29N7O2/c1-20-17-24(11-12-25(20)34-29-31-15-13-26(35-29)22-8-5-14-30-19-22)33-28(38)21-7-4-9-23(18-21)32-27(37)10-6-16-36(2)3/h4-15,17-19H,16H2,1-3H3,(H,32,37)(H,33,38)(H,31,34,35)",GJFCSAPFHAXMSF-UHFFFAOYSA-N,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)C=CCN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,,,EMD Millipore,,,,,,,2018-03-30
10621-101-1,10621,Defactinib,PF-04554878; VS-6063,,25117126,,,510.14,"InChI=1S/C20H21F3N8O3S/c1-24-18(32)12-4-6-13(7-5-12)29-19-28-10-14(20(21,22)23)16(30-19)27-11-15-17(26-9-8-25-15)31(2)35(3,33)34/h4-10H,11H2,1-3H3,(H,24,32)(H2,27,28,29,30)",FWLMVFUGMHIOAA-UHFFFAOYSA-N,CNC(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=NC=CN=C3N(C)S(=O)(=O)C)C(F)(F)F,,,Selleck Chemicals,,510.490000,,,,,2016-12-13
