Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Normalized Growth Rate Inhibition Value,Assay Plate,Assay Well,Biological Replicate
50583-2,MCF 10A,10233-101-4,Alpelisib,0.0033333,1606,22054,21547,1.0125,1,H18,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.0033333,1606,21405,21547,0.9965,1,M07,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.01,1606,21588,21547,1.0010,1,H19,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.01,1606,21576,21547,1.0007,1,J03,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.031667,1606,21253,21547,0.9927,1,D11,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.031667,1606,20860,21547,0.9828,1,K22,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.1,1606,20593,21547,0.9760,1,F06,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.1,1606,20787,21547,0.9809,1,M16,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.31623,1606,19998,21547,0.9606,1,I07,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.31623,1606,18888,21547,0.9309,1,N11,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.56234,1606,18257,21547,0.9135,1,L14,1
50583-2,MCF 10A,10233-101-4,Alpelisib,0.56234,1606,18955,21547,0.9327,1,M04,1
50583-2,MCF 10A,10233-101-4,Alpelisib,1.7783,1606,16344,21547,0.8577,1,F10,1
50583-2,MCF 10A,10233-101-4,Alpelisib,1.7783,1606,17079,21547,0.8797,1,G17,1
50583-2,MCF 10A,10233-101-4,Alpelisib,3.1623,1606,15559,21547,0.8335,1,G10,1
50583-2,MCF 10A,10233-101-4,Alpelisib,3.1623,1606,15448,21547,0.8300,1,K12,1
50583-2,MCF 10A,10233-101-4,Alpelisib,5.6234,1606,12754,21547,0.7387,1,H16,1
50583-2,MCF 10A,10233-101-4,Alpelisib,5.6234,1606,13206,21547,0.7549,1,J14,1
50583-2,MCF 10A,10233-101-4,Alpelisib,1,1606,18127,21547,0.9098,1,I03,1
50583-2,MCF 10A,10233-101-4,Alpelisib,1,1606,18118,21547,0.9096,1,J17,1
50583-2,MCF 10A,10233-101-4,Alpelisib,10,1606,10778,21547,0.6623,1,C05,1
50583-2,MCF 10A,10233-101-4,Alpelisib,10,1606,10045,21547,0.6313,1,C20,1
