Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),Time Interval (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,15.91,13.5,18.5716,168.3795,0.5685,-1.0000,0.4983,0.1166
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,16.73,13.3,19.6489,124.3425,0.6341,-0.9991,0.5951,0.0849
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,18.59,13.3,16.2872,30.1363,0.5697,-0.4075,0.6604,0.1016
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,20.81,13.3,15.1045,119.1663,0.5557,-1.0000,0.5491,0.1104
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,23.04,13.3,13.0191,67.1327,0.5327,-1.0000,0.6881,0.0949
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,25.25,13.3,13.7447,50.8693,0.5662,-0.9329,0.8377,0.0699
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,27.48,13.3,20.0615,109.7735,0.5940,-1.0000,0.7179,0.0765
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,29.70,13.3,27.7483,154.7888,0.6373,-0.8744,0.6097,0.0762
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,31.92,13.3,Inf,48.0469,0.6505,-0.3257,0.5441,0.0840
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,34.14,13.3,33.6323,138.7884,0.6705,-0.6260,0.5249,0.0816
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,36.36,13.3,42.9745,417.2033,0.6921,-0.9983,0.4876,0.0807
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,38.59,13.3,Inf,659.7431,0.7083,-0.8898,0.4399,0.0784
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,40.81,13.3,42.2866,311.4568,0.7077,-1.0000,0.5651,0.0697
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,43.03,13.3,23.3924,88.1783,0.7153,-0.9969,0.8352,0.0518
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,45.25,13.3,Inf,19.4732,0.7923,-0.0908,3.0690,0.0228
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,47.47,13.3,Inf,17.0493,0.7926,-0.0881,3.2633,0.0135
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,49.69,13.3,Inf,15.168,0.7888,-0.0845,3.1051,0.0197
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,51.92,13.3,Inf,21.8307,0.7677,-0.1382,1.2490,0.0308
